"","true.mu","psi.true","misse","mean_turnover_error","median_turnover_error","var_turnover","mean_eps_error","median_eps_error","var_eps","mean_netdiv_error","median_netdiv_error","var_netdiv","m_prop_median","m_median","k_prop_median","k_median","mean.psi.error","median.psi.error","var.psi"
"11",0.1,0.1,"extant",0.0367476984605906,0.0265167092988205,0.0193141670857283,0.022425220859139,0.0381664772973795,0.0325772008239293,-0.0055408307554135,-0.00954726709005405,0.00251792838389176,NA,NA,NA,NA,-0.1,-0.1,0
"12",0.1,0.1,"full_k",0.00766875341531799,0.00278232804318096,0.00443253418119997,0.00325821782355357,-0.0090198419789245,0.0065927189908189,0.000401314594412917,-0.000643594121323449,0.00101419999131688,0.10890436746988,7,1,58,0.000264996419623197,3.93326714479905e-05,0.000161297471592448
"13",0.1,0.1,"half_k",0.0989265712114537,0.0882527134050805,0.00776699950287547,0.113847841817335,0.098252059912214,0.00901389738466487,-0.0240146795139281,-0.0246519656021448,0.00118019223033198,0.10890436746988,7,0.5,29,-0.0485275199734074,-0.0485211631475004,3.95075501633932e-05
"14",0.1,0.1,"strat_int",-0.0374918854192524,-0.043646160038467,0.00283701073092219,-0.0562307559530178,-0.0700435346269035,0.00451496714057561,0.0111423076528154,0.00934127044247002,0.000917529295478485,0.10890436746988,7,0.883333333333333,52,0.0104447860512947,0.00952455117378,0.000213187085027726
"15",0.1,0.1,"zero_k",0.320519827675561,0.309500746306578,0.0150592209852012,0.31150621164957,0.30969427384213,0.00855108308836581,-0.074029562100967,-0.0712428372902385,0.00134139186014148,0.10890436746988,7,0,0,-0.0912796460426047,-0.091543431900081,8.72152821303947e-06
"16",0.2,0.01,"extant",0.0046345719489142,0.00939289534551652,0.0166171933877966,-0.0137913937665672,0.0174393022759595,0.0226886647239536,0.000810031368966156,-0.00483549905579439,0.00155237965065734,NA,NA,NA,NA,-0.01,-0.01,0
"17",0.2,0.01,"full_k",0.0128393093857961,0.00652292337086752,0.0107674108293272,0.00413138464283697,0.0286429493030305,0.0133821931570022,-0.00248642260984921,-0.00564032759691629,0.00119129235761992,0.0141522029372497,3,1,7,0.000290265598275588,-0.00029260871913287,1.04929994235105e-05
"18",0.2,0.01,"half_k",0.0534275895998715,0.045892264552947,0.0114208664702638,0.0441081651002651,0.0626297415376115,0.0123446076220134,-0.0114543071021827,-0.015097504637031,0.00116871150678272,0.0141522029372497,3,0.5,4,-0.00365278262300415,-0.00390305152311565,4.03969800518919e-06
"19",0.2,0.01,"strat_int",-0.0241810891615876,-0.0218454171282085,0.0116212051282063,-0.0359915957491588,-0.0198802930010825,0.0155594389163108,0.00538142663667895,0.00317065502528054,0.00123486131270377,0.0141522029372497,3,1,7,0.000859560750460042,0.00049365848617105,1.2668863365983e-05
"20",0.2,0.01,"zero_k",0.0969528403126842,0.0883188865840565,0.0122429061409107,0.0827065902310578,0.096455763531066,0.0113402810438201,-0.0205144164526816,-0.0251572832249968,0.00114613031057343,0.0141522029372497,3,0,0,-0.00720326751655109,-0.00745311178139815,2.1864333914934e-06
