mu	lambda	eps	turnover	netdiv	psi	ntip	m.type	k.type	k.ratio
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	3	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	5	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	3	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	2	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	2	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	4	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	3	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	2	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	1	4	0.8
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	4	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	4	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	1	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	1	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	2	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	1	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	3	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	2	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	4	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	0	3	1
0.047619048	0.952380952	0.05	1	0.904761905	0.01	200	1	1	0.5
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	1	26	0.962962963
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	4	28	0.875
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	0	30	1
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	2	27	0.931034483
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	0	27	1
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	1	23	0.958333333
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	1	25	0.961538462
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	4	21	0.84
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	1	25	0.961538462
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	3	21	0.875
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	4	28	0.875
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	1	29	0.966666667
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	2	34	0.944444444
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	4	22	0.846153846
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	2	21	0.913043478
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	2	36	0.947368421
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	3	25	0.892857143
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	4	22	0.846153846
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	1	31	0.96875
0.013043478	0.086956522	0.15	0.1	0.073913043	0.01	200	3	38	0.926829268
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	10	1
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	1	15	0.9375
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	8	1
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	3	7	0.7
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	2	18	0.9
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	2	13	0.866666667
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	1	13	0.928571429
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	1	13	0.928571429
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	2	10	0.833333333
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	2	15	0.882352941
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	15	1
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	5	16	0.761904762
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	12	1
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	12	1
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	1	13	0.928571429
